genre1,year,obs,profit_sum,profit_mean
Action,2001,,,
Action,2002,0.3999999999999999,0.029765412266472557,-0.26445327695251963
Action,2003,-0.16666666666666663,-0.4249161070346965,-0.3098993284416357
Action,2004,-0.1428571428571429,1.9887321848235757,2.486854215627505
Action,2005,0.16666666666666674,-0.6038982894549826,-0.6604842481042708
Action,2006,-0.368421052631579,0.1238127319365443,0.7793701588995283
Action,2007,-0.17391304347826086,0.1501292460013941,0.3922617188437929
Action,2008,-0.1785714285714286,-0.7422376525577519,-0.686202359635524
Action,2009,0.0714285714285714,3.415123585471391,3.1207820131066315
Action,2010,0.0,-0.40557767279304224,-0.40557767279304235
Action,2011,-0.20833333333333337,-0.446678278240371,-0.3010672988299423
Action,2012,0.33333333333333326,0.048540050126377965,-0.21359496240521647
Action,2013,0.4736842105263157,2.0029705934821527,1.0377300455771752
Action,2014,0.19999999999999996,-0.2419176996223773,-0.36826474968531453
Action,2015,0.0714285714285714,0.0035174349483344525,-0.06338372738155429
Action,2016,1.3333333333333335,1.5897434971889481,0.10989007022383479
Action,2017,-0.1428571428571429,-0.5973550531347445,-0.5302475619905352
Action,2018,-0.30000000000000004,12.571891509506493,18.388416442152135
Adventure,2001,0.0,0.16748903841546192,0.16748903841546192
Adventure,2002,-0.47058823529411764,0.04048351539241657,0.9653577512967866
Adventure,2003,0.22222222222222232,0.21950445114059036,-0.0022236308849714614
Adventure,2004,-0.36363636363636365,-0.3142492430073812,0.07760833241697251
Adventure,2005,-0.09090909090909094,-0.14338090375870327,-0.0577189941345736
Adventure,2006,0.4285714285714286,-0.7833792353114897,-0.8483654647180429
Adventure,2007,0.10000000000000009,3.3177140531321845,2.9251945937565313
Adventure,2008,1.4285714285714284,0.33178023094509124,-0.4516199049049625
Adventure,2009,-0.30000000000000004,-0.21017880683286938,0.12831599023875806
Adventure,2010,0.5,-0.11820191028086013,-0.4121346068539068
Adventure,2011,-0.33333333333333337,-0.5430422971435678,-0.31456344571535155
Adventure,2012,0.19999999999999996,0.3619827944851697,0.13498566207097484
Adventure,2013,-0.2222222222222222,0.21280127433894735,0.5593159241500754
Adventure,2014,-0.2857142857142857,0.5256953313065638,1.1359734638291892
Adventure,2015,0.0,-0.7581658087506683,-0.7581658087506683
Adventure,2016,2.5,8.957656040330576,1.8450445829515933
Adventure,2017,0.0,-0.8000582264591688,-0.8000582264591688
Adventure,2018,-0.8,-0.07505764927819791,3.6247117536090103
Animation,2001,0.0,0.3175185050438203,0.3175185050438203
Animation,2002,0.0,-0.5328160921481524,-0.5328160921481524
Animation,2003,0.0,-58.23425895773846,-58.23425895773846
Animation,2004,0.0,-1.2322674079538158,-1.2322674079538158
Animation,2005,-0.33333333333333337,-0.848668514476536,-0.773002771714804
Animation,2006,0.5,-0.22831403642851633,-0.48554269095234426
Animation,2007,-0.5,0.16991504021193093,1.3398300804238619
Animation,2008,-0.4285714285714286,-0.7723313353536853,-0.6015798368689492
Animation,2009,0.5,1.6589157112098363,0.7726104741398907
Animation,2010,3.0,6.894490589252877,0.9736226473132192
Animation,2011,-0.125,-0.06664490101168552,0.06669154170093083
Animation,2012,0.0,-0.26235238812633754,-0.26235238812633754
Animation,2013,3.0,18.62581625354098,3.9064540633852447
Animation,2014,1.0,-64.83588810935467,-32.917944054677335
Animation,2015,-0.6666666666666667,-1.001624190323814,-1.0048725709714417
Animation,2016,-0.25,-0.006595168923775985,0.32453977476829876
Animation,2017,-0.8571428571428572,-0.8841130417433802,-0.18879129220366198
Comedy,2001,-0.5217391304347826,0.06998271806835743,1.2372365923247473
Comedy,2002,0.18181818181818188,0.5409685251795275,0.30389644438267704
Comedy,2003,0.23076923076923084,0.04471427852640031,-0.15116964869729976
Comedy,2004,0.17647058823529416,1.0588499148779524,0.7500224276462597
Comedy,2005,-0.34615384615384615,-0.7300993163234828,-0.5872107190829737
Comedy,2006,0.13636363636363646,-0.28971603513789945,-0.37495011092135155
Comedy,2007,-0.07999999999999996,-0.37718686011774993,-0.323029195780163
Comedy,2008,0.625,0.35286494488232023,-0.16746772622626438
Comedy,2009,-0.12,-0.12208332691771151,-0.0023674169519449784
Comedy,2010,6.0,0.050475375925677746,-0.8499320891534746
Comedy,2011,0.08695652173913038,0.434011165527328,0.31929027228514184
Comedy,2012,-0.04166666666666663,-0.08624532198420021,-0.04651685772264358
Comedy,2013,0.8461538461538463,1.0802749586446594,0.12681560259919067
Comedy,2014,-0.1333333333333333,-0.37124382391483546,-0.2745121045171178
Comedy,2015,14.0,1.6273252539442327,-0.8248449830703846
Comedy,2016,-0.9523809523809523,-0.7105589536363219,5.078261973637241
Crime,2001,-0.6666666666666667,-0.897432658701225,-0.6922979761036752
Crime,2002,0.19999999999999996,1.0154689103186771,0.6795574252655643
Crime,2003,4.0,1147.6959968444244,228.7391993688849
Crime,2004,-0.75,-0.9995710859482103,-0.998284343792841
Crime,2005,0.33333333333333326,0.08859668085451378,-0.1835524893591146
Crime,2006,-0.25,0.4397796219620924,0.9197061626161229
Crime,2007,8.0,1.7621440822692005,-0.6930951019700888
Crime,2008,-0.5,1.350683056389892,3.701366112779784
Crime,2009,-0.19999999999999996,-0.03461421924359731,0.20673222594550333
Crime,2010,0.0,0.19258641755676265,0.19258641755676265
Crime,2011,-0.2857142857142857,-0.46900252166110257,-0.2566035303255436
Crime,2012,0.3999999999999999,-0.4149288036805251,-0.5820920026289464
Crime,2013,0.25,3.801460063786018,2.841168051028814
Crime,2014,-0.33333333333333337,-0.8295988476128257,-0.7443982714192384
